"id","type","date","description","amount","category"
"149","Expense","2022-07-20","Coupang Eats","19900","Shoping"
"150","Expense","2022-07-20","Samsung Insurance","300000","Others"
"151","Expense","2022-07-30","No Description","53650","Car Rent"
"152","Expense","2022-07-30","Tmoney","10000","Others"
"153","Expense","2022-07-30","Milk,Egg etc","48760","Shoping"
"154","Expense","2022-07-30","Coupang","4990","Others"
"155","Expense","2022-08-01","Coupang Eats","13900","Shoping"
"156","Expense","2022-08-03","IBK","200000","Deposit Fund"
"157","Expense","2022-08-05","Bkash","33162","Wife"
"158","Expense","2022-08-05","Voip","16000","Others"
"159","Expense","2022-08-11","Bank(Nazim Fr)","461137","Debt"
"160","Expense","2022-08-14","Bkash(Nazim)","34846","Family"
"161","Expense","2022-08-14","Bank(Father)","1201367","Family"
"162","Expense","2022-08-15","Bkash (Al Min) For Wife","38291","Debt"
"163","Expense","2022-08-15","Rice(Coupang)","40750","Shoping"
"164","Expense","2022-08-15","Meat,Fish etc","100080","Shoping"
"165","Expense","2022-08-16","SIM Bill","7900","Others"
"166","Expense","2022-08-16","Bkash","14764","Wife"
"167","Expense","2022-08-18","Mobile Recharge","1669","Wife"
"168","Expense","2022-08-23","IBK","300000","Deposit Fund"
"169","Expense","2022-08-23","Cake,Milk etc","17580","Shoping"
"170","Expense","2022-08-28","No Description","110970","Car Rent"
"171","Expense","2022-08-28","Eating out","30000","Others"
"172","Expense","2022-08-28","Hair Cut","10000","Others"
"173","Expense","2022-08-28","Bkash","21289","Wife"
"174","Expense","2022-08-28","Mouse,Pad etc","17050","Shoping"
"175","Expense","2022-08-30","Mobile Recharge","2710","Wife"
"176","Expense","2022-08-30","Lotto","20000","Others"
"177","Expense","2023-01-10","Top Up","6191","Wife"
"178","Expense","2023-01-10","Coupang Membership","4990","Others"
"179","Expense","2023-01-11","Cash Pick Up(Father)","696725","Family"
"180","Expense","2023-01-13","Bkash","83694","Wife"
"181","Expense","2023-01-14","Chicken,Fish,etc","105000","Shoping"
"182","Expense","2023-01-14","Daiso","13200","Shoping"
"183","Expense","2023-01-14","Bread,Butter,etc","59770","Shoping"
"184","Expense","2023-01-15","Toss Prime","5900","Others"
"185","Expense","2023-01-15","Gmoney Card Fee","5000","Others"
"186","Expense","2023-01-15","CGV","18787","Others"
"187","Expense","2023-01-16","LGU Sim bill","7900","Others"
"188","Expense","2023-01-21","Perfume(Coupang)","11670","Shoping"
"189","Expense","2023-01-21","Ansan Clinic","9500","Medical"
"190","Expense","2023-01-21","Daiso","6200","Shoping"
"191","Expense","2023-01-21","Gingsen,Cake,etc","40610","Shoping"
"192","Expense","2023-01-21","Nazim(Bkash)","152019","Family"
"193","Expense","2023-01-22","Voip","16000","Others"
"194","Expense","2023-01-25","Mobile","272600","Shoping"
"195","Expense","2023-01-27","Bkash","37333","Wife"
"196","Expense","2023-01-28","Coupang (Book)","13500","Shoping"
"197","Expense","2023-02-01","Cake,Milk","6000","Shoping"
"198","Expense","2023-02-02","Mobile Recharge","4784","Wife"
"199","Expense","2023-02-03","Cake,Chips","7000","Shoping"
"200","Expense","2023-02-04","Hair Cut","10000","Others"
"201","Expense","2023-02-04","Screen Protector","19000","Shoping"
"202","Expense","2023-02-04","Milk and other","28000","Shoping"
"203","Expense","2023-02-05","Emart","26000","Shoping"
"204","Expense","2023-02-10","Rice","48240","Shoping"
"205","Expense","2023-02-12","Mother(Bank)","1725293","Family"
"206","Expense","2023-02-12","Bkash","179390","Wife"
"207","Expense","2023-02-13","Earphone and others","37000","Shoping"
"208","Expense","2023-02-13","Coupang Membership","4990","Others"
"209","Expense","2023-02-15","Bkash","64523","Family"
"210","Expense","2023-02-15","CGV","29528","Others"
"211","Expense","2023-02-16","LGU+","7900","Others"
"212","Expense","2023-02-18","CGV","4000","Others"
"213","Expense","2023-02-18","Food","27620","Shoping"
"214","Expense","2023-02-20","Abir","600000","Debt"
"215","Expense","2023-02-20","Recharge","1457","Wife"
"216","Expense","2023-02-23","Milk and Juice","4000","Shoping"
"217","Expense","2023-02-26","Milk.Cake","19490","Shoping"
"218","Expense","2023-02-27","Shoes(coupang)","6800","Shoping"
"219","Expense","2023-03-03","Recharge","3676","Wife"
"220","Expense","2023-03-05","Meat,Fish and other","71700","Shoping"
"221","Expense","2023-03-08","Milk","3050","Shoping"
"222","Expense","2023-03-11","Abir","310000","Debt"
"223","Expense","2023-03-12","Bkash","98323","Wife"
"224","Expense","2023-03-12","Cash Pick Up(Father)","1089301","Family"
"225","Expense","2023-03-12","Eggs and other","29640","Shoping"
"226","Expense","2023-03-12","Tmoney","5000","Others"
"227","Expense","2023-03-12","Recharge","5952","Family"
"228","Expense","2023-03-12","Card fee","1000","Others"
"229","Expense","2023-03-13","Mobarak","415000","Debt"
"230","Expense","2023-03-13","Ismail","100000","Debt"
"231","Expense","2023-03-15","LGU Bill","7900","Others"
"232","Expense","2023-03-17","Pending","5000","Others"
"233","Expense","2023-03-17","Najim (Cash pickup)","420044","Family"
"234","Expense","2023-03-18","Top Up","2674","Wife"
"235","Expense","2023-03-18","Milk,Cake","30000","Shoping"
"236","Expense","2023-03-18","Pending","4300","Shoping"
"237","Expense","2023-03-19","Delwer Mama","621062","Debt"
"238","Expense","2023-03-25","Eat outside","10000","Shoping"
"239","Expense","2023-03-25","Pending","48230","Shoping"
"240","Expense","2023-03-25","Pending","2900","Others"
"241","Expense","2023-03-26","Lottery Lotto","20000","Others"
"242","Expense","2023-03-29","Bkash","38206","Wife"
"243","Expense","2023-04-01","Recharge","3404","Wife"
"244","Expense","2023-04-01","Pending","2700","Others"
"245","Expense","2023-04-01","Eating Outside","10827","Others"
"246","Expense","2023-04-03","Pending","7470","Car Rent"
"247","Expense","2023-04-03","Masala and fish","26000","Shoping"
"248","Expense","2023-04-03","Ansan Masjid","20000","Donation"
"249","Expense","2023-04-03","Najim","414029","Family"
"250","Expense","2023-04-03","Pending","37360","Shoping"
"251","Expense","2023-04-05","Ismail Vai","100000","Lend"
"252","Expense","2023-04-08","Pending","73230","Shoping"
"253","Expense","2023-04-08","Pending","2900","Others"
"254","Expense","2023-04-09","Juice","4000","Shoping"
"255","Expense","2023-04-09","Pending","1450","Others"
"256","Expense","2023-04-11","Bkash","182695","Wife"
"257","Expense","2023-04-11","Master Card Bill","67640","Master Card Bill"
"258","Expense","2023-04-12","JB Bank","893663","Loan"
"259","Expense","2023-04-12","Bank(Mom)","1934488","Family"
"260","Expense","2023-04-12","Meskat","1433798","Debt"
"261","Expense","2023-04-15","Recharge","2406","Wife"
"262","Expense","2023-04-15","Grape,strawberry","8000","Shoping"
"263","Expense","2023-04-15","Pending","56100","Shoping"
"264","Expense","2023-04-15","Pending","2700","Car Rent"
"265","Expense","2023-04-15","Sim Bill","7900","Others"
"266","Expense","2023-04-15","Hair Cut","10000","Others"
"267","Expense","2023-04-16","Pending","14900","Shoping"
"268","Expense","2023-04-18","Lottery","20000","Others"
"269","Expense","2023-04-18","Najim Bkash","101074","Family"
"270","Expense","2023-04-18","Bkash","39778","Wife"
"271","Expense","2023-04-19","Voip","16000","Others"
"272","Expense","2023-04-19","Masjid","4000","Donation"
"273","Expense","2023-04-24","CU","6700","Shoping"
"274","Expense","2023-04-24","Pending","1450","Car Rent"
"275","Expense","2023-04-24","Recharge","2406","Wife"
"276","Expense","2023-04-24","Eid Celebration","21700","Debt"
"277","Expense","2023-04-27","CU","9250","Shoping"
"278","Expense","2023-04-29","Grocery","100040","Shoping"
"279","Expense","2023-04-29","Pending","1450","Car Rent"
"280","Expense","2023-04-29","Recharge","2930","Wife"
"281","Expense","2023-05-01","Cycle tube","5000","Shoping"
"282","Expense","2023-05-01","Cycling App","5380","Car Rent"
"283","Expense","2023-05-01","Pending","4350","Car Rent"
"284","Expense","2023-05-02","Pending","2800","Shoping"
"285","Expense","2023-05-03","CGV","20760","Others"
"286","Expense","2023-05-05","CU","9700","Shoping"
"287","Expense","2023-05-05","Hospital","31200","Medical"
"288","Expense","2023-05-05","Pending","4150","Car Rent"
"289","Expense","2023-05-08","Recharge","2674","Wife"
"290","Expense","2023-05-11","Nagad","90418","Wife"
"291","Expense","2023-05-11","Mom Cash Pick","614220","Family"
"292","Expense","2023-05-12","JB Bank","883606","Loan"
"293","Expense","2023-05-13","Master Card Bill","200010","Master Card Bill"
"294","Expense","2023-05-13","Nagad","53497","Wife"
"295","Expense","2023-05-13","Bkash(Nazim)","64096","Family"
"296","Expense","2023-05-13","Pending","47900","Shoping"
"297","Expense","2023-05-13","Pending","12150","Shoping"
"298","Expense","2023-05-14","Bread and others","17000","Shoping"
"299","Expense","2023-05-14","Pending","1350","Car Rent"
"300","Expense","2023-05-15","Recharge","2406","Wife"
"301","Expense","2023-05-17","Nagad","40995","Wife"
"302","Expense","2023-05-17","Sim Bill","7900","Others"
"303","Expense","2023-05-21","Beef, and Others","60600","Shoping"
"304","Expense","2023-05-21","Pending","2900","Car Rent"
"305","Expense","2023-05-27","Pending","32210","Shoping"
"306","Expense","2023-05-27","CU","11250","Shoping"
"307","Expense","2023-05-27","Recharge","2674","Wife"
"308","Expense","2023-05-27","Mobarak","8000","Debt"
"309","Expense","2023-05-28","CU","18500","Shoping"
"310","Expense","2023-06-02","Master Card Bill","107810","Master Card Bill"
"311","Expense","2023-06-04","CU","4000","Shoping"
"312","Expense","2023-06-04","Meat and others","57000","Shoping"
"313","Expense","2023-06-04","Pending","1450","Car Rent"
"314","Expense","2023-06-08","Nazim Bkash","61494","Family"
"315","Expense","2023-06-08","Nagad","49795","Wife"
"316","Expense","2023-06-09","Recharge","4680","Wife"
"317","Expense","2023-06-10","Coupang(Chess)","8273","Shoping"
"318","Expense","2023-06-14","Cash Pick up","547088","Family"
"319","Expense","2023-06-14","JB Bank","874892","Loan"
"320","Expense","2023-06-14","Nagad","98556","Wife"
"321","Expense","2023-06-14","Recharge","2900","Family"
"322","Expense","2023-06-14","Voip","16000","Others"
"323","Expense","2023-06-14","Pending","523200","Others"
"324","Expense","2023-06-14","Pending","5550","Shoping"
"325","Expense","2023-06-14","Pending","4500","Car Rent"
"326","Expense","2023-06-17","Pending","308840","Shoping"
"327","Expense","2023-06-17","Pending","1450","Car Rent"
"328","Expense","2023-06-17","Hair Cut","12000","Others"
"329","Expense","2023-06-17","Bus Fair","7000","Car Rent"
"330","Expense","2023-06-17","Sim Bill","7900","Others"
"331","Expense","2023-06-18","Pending","27200","Shoping"
"332","Expense","2023-06-18","Pending","2800","Car Rent"
"333","Expense","2023-06-18","Fan","15000","Shoping"
"334","Expense","2023-06-21","Pending","46900","Shoping"
"335","Expense","2023-06-21","CU","3000","Shoping"
"336","Expense","2023-06-22","Recharge","2485","Father"
"337","Expense","2023-06-22","Pending","50490","Shoping"
"338","Expense","2023-06-23","Chooclate","30000","Shoping"
"339","Expense","2023-06-25","Bus Fair","9100","Car Rent"
"340","Expense","2023-06-25","Pending","16000","Shoping"
"341","Expense","2023-06-25","Deposit fee","1500","Others"
"342","Expense","2023-06-25","Pending","28900","Shoping"
"343","Expense","2023-06-25","Taxi","5800","Car Rent"
"344","Expense","2023-06-26","Recharge","4688","Wife"
"345","Expense","2023-07-03","Nagad","120696","Wife"
"346","Expense","2023-07-03","Recharge","4688","Wife"
"347","Expense","2023-07-04","Recharge","4968","Wife"
"348","Expense","2023-07-10","Master Card Bill","778080","Master Card Bill"
"349","Expense","2023-07-12","JB Bank","863497","Loan"
"350","Expense","2023-07-12","Nagad","298194","Wife"
"351","Expense","2023-07-17","Recharge","5250","Wife"
"352","Expense","2023-07-17","Sim Bill","8720","Others"
"353","Expense","2023-07-17","Airport Bus","7100","Others"
"354","Expense","2023-07-17","Bus Fare","1500","Others"
"355","Expense","2023-07-17","Pending","37800","Medical"
"356","Expense","2023-07-17","Pending","12000","Shoping"
"357","Expense","2023-07-17","Pending","16150","Shoping"
"358","Expense","2023-07-18","Pending","36040","Shoping"
"359","Expense","2023-07-20","Nagad","38498","Wife"
"360","Expense","2023-07-22","Lotto","20000","Others"
"361","Expense","2023-07-22","Pending","501710","Shoping"
"362","Expense","2023-07-23","Bus fair","1600","Car Rent"
"363","Expense","2023-07-23","Pending","92340","Shoping"
"364","Expense","2023-07-25","Nagad","62297","Wife"
"365","Expense","2023-07-28","Najim/Nagad","158471","Family"
"366","Expense","2023-07-29","Mom","421183","Family"
"367","Expense","2023-07-31","Pending","14000","Shoping"
"368","Expense","2023-07-31","Recharge","3755","Wife"
"369","Expense","2023-07-31","Pending","16000","Others"
"370","Expense","2023-08-04","Nagad","63213","Wife"
"371","Expense","2023-08-05","Pending","42180","Shoping"
"372","Expense","2023-08-05","Pending","1450","Car Rent"
"373","Expense","2023-08-10","Master Card  Bill","511240","Master Card Bill"
"374","Expense","2023-08-12","Purchase Bike","1100000","Shoping"
"375","Expense","2023-08-12","Pending","16000","Others"
"376","Expense","2023-08-12","Pending","29000","Shoping"
"377","Expense","2023-08-12","Pending","1450","Car Rent"
"378","Expense","2023-08-14","JB Bank","854112","Loan"
"379","Expense","2023-08-14","Pending","18980","Shoping"
"380","Expense","2023-08-14","Pending","2900","Car Rent"
"381","Expense","2023-08-16","Recharge","4630","Wife"
"382","Expense","2023-08-16","Pending","4950","Car Rent"
"383","Expense","2023-08-16","Sim Bill","9640","Others"
"384","Expense","2023-08-18","Bike Registration","3000","Others"
"385","Expense","2023-08-18","Pending","40400","Others"
"386","Expense","2023-08-18","Pending","5000","Fuel"
"387","Expense","2023-08-20","Pending","12000","Shoping"
"388","Expense","2023-08-20","Haircut","12000","Others"
"389","Expense","2023-08-26","Pending","8200","Shoping"
"390","Expense","2023-08-27","Pending","12570","Shoping"
"391","Expense","2023-08-28","Pending","2900","Car Rent"
"392","Expense","2023-08-28","Pending","51990","Shoping"
"393","Expense","2023-09-03","Pending","147751","Shoping"
"394","Expense","2023-09-03","Pending","32905","Shoping"
"395","Expense","2023-09-03","Masala","5000","Shoping"
"396","Expense","2023-09-07","Pending","10000","Fuel"
"397","Expense","2023-09-09","Mobarak","300000","Debt"
"398","Expense","2023-09-09","Pending","19200","Shoping"
"399","Expense","2023-09-09","Master Card Bill","612233","Master Card Bill"
"400","Expense","2023-09-10","Nagad","186749","Wife"
"401","Expense","2023-09-10","IBBL","10000","Others"
"402","Expense","2023-09-11","Meskat (Bank)","583101","Debt"
"403","Expense","2023-09-12","JB Bank","844392","Loan"
"404","Expense","2023-09-11","Pending","95727","Others"
"405","Expense","2023-09-15","Pending","217929","Shoping"
"406","Expense","2023-09-17","Pending","89280","Shoping"
"407","Expense","2023-09-17","Sim Bill","7900","Others"
"408","Expense","2023-09-18","Madrasa(Nagad)","168806","Family"
"409","Expense","2023-09-20","Sahed(Nagad)","123904","Debt"
"410","Expense","2023-09-21","Pending","24100","Shoping"
"411","Expense","2023-09-21","Recharge","4680","Wife"
"412","Expense","2023-09-22","Nagad","64539","Wife"
"413","Expense","2023-09-23","Lotto","20000","Others"
"414","Expense","2023-09-23","Pending","199000","Shoping"
"415","Expense","2023-09-23","Pending","14000","Others"
"416","Expense","2023-09-23","Pending","9260","Shoping"
"417","Expense","2023-09-24","Bkash(Nupur)","125035","Lend"
"418","Expense","2023-09-25","Father (Bank)","2425045","Family"
"419","Expense","2023-09-25","Pending","14226","Others"
"420","Expense","2023-09-29","Pending","57000","Shoping"
"421","Expense","2023-09-29","Rice","24000","Shoping"
"422","Expense","2023-09-30","Pending","6600","Car Rent"
"423","Expense","2023-09-30","Touring","40000","Others"
"424","Expense","2023-10-01","Master Card Bill","951775","Master Card Bill"
"425","Expense","2023-10-01","5.5L","10000","Fuel"
"426","Expense","2023-10-01","Pending","32200","Shoping"
"427","Expense","2023-10-03","Pending","19100","Shoping"
"428","Expense","2023-10-03","Pending","28998","Shoping"
"429","Expense","2023-10-04","Pending","1450","Car Rent"
"430","Expense","2023-10-05","Level Test Fee","38000","Others"
"431","Expense","2023-10-07","Pending","9700","Shoping"
"432","Expense","2023-10-08","Pending","27900","Shoping"
"433","Expense","2023-10-08","Eating out","20000","Shoping"
"434","Expense","2023-10-09","Pending","25000","Shoping"
